id,project_id,name,role
137,60,"Dittmer, Kyle Michael",AUTHOR
138,60,"Rose, Sabrina Catherine",AUTHOR
139,60,"Khatri-Chhetri, Arun",AUTHOR
140,60,"Stier, Melina",AUTHOR
141,60,"Trang, Vu Hong",AUTHOR
142,60,"Nelson, Katherine",AUTHOR
143,61,"Dank, Meredith",AUTHOR
144,61,"Farrell, Amy",AUTHOR
145,61,"Zhang, Sheldon",AUTHOR
146,62,"Dank, Meredith",AUTHOR
147,62,"Farrell, Amy",AUTHOR
148,62,"Zhang, Sheldon",AUTHOR
149,63,"Oudkerk Pool, Andrea",AUTHOR
150,64,"Oudkerk Pool, Andrea",AUTHOR
151,65,"Oudkerk Pool, Andrea",AUTHOR
152,66,"Wackers, Martijn",AUTHOR
153,67,"Grewal, Sunny",AUTHOR
154,67,"Grewal, Sunny",AUTHOR
155,67,"Kidney, Etain",AUTHOR
156,67,"Kidney, Etain",AUTHOR
157,67,"Kenny, Patrick",AUTHOR
158,68,Muzikeviciute-Oud,AUTHOR
159,69,"McGlade-Bouchard, Cameron",AUTHOR
160,70,"Planty, Michael",AUTHOR
161,70,"Banks, Duren",AUTHOR
162,71,"Planty, Michael",AUTHOR
163,71,"Banks, Duren",AUTHOR
164,72,"Barkhausen, David",AUTHOR
165,72,"Bloching, Sven",AUTHOR
166,72,"Engeler, Hannah",AUTHOR
167,73,"Sönning, Lukas",AUTHOR
168,74,"Sönning, Lukas",AUTHOR
169,75,"Sönning, Lukas",AUTHOR
170,76,"Albrecht, Jennifer",AUTHOR
171,77,"Albrecht, Jennifer",AUTHOR
172,78,"Arora, Prerna",AUTHOR
173,79,"Arora, Prerna",AUTHOR
174,80,"The, Giovanno",AUTHOR
175,80,"Ubud, Sahnaz",AUTHOR
176,80,"Ubud, Sahnaz",AUTHOR
177,81,"Koerber, Amy",AUTHOR
178,343,"Strategic Health Communication, GEAC",AUTHOR
179,83,"Strategic Health Communication, GEAC",AUTHOR
180,84,"Kleinhens Pinto Basto Avides, Miguel",AUTHOR
181,85,"Behan, Justine",AUTHOR
182,85,"Kabajaasi, Olive",AUTHOR
183,85,"Derksen, Brooklyn",AUTHOR
184,85,"Sendegye, George",AUTHOR
185,85,Kuugumikiriza,AUTHOR
186,85,"Komugisha, Clare",AUTHOR
187,85,"Sundararajan, Radhika",AUTHOR
188,85,"Jacob, Shevin T.",AUTHOR
189,85,"Kenya-Mugisha, Nathan",AUTHOR
190,85,"Wiens, Matthew O.",AUTHOR
191,86,"Gifford, Rachel",AUTHOR
192,86,"van de Baan, Frank",AUTHOR
193,86,"Ruwaard, Dirk",AUTHOR
194,86,"Westra, Daan",AUTHOR
195,87,PSI/Central Asia,AUTHOR
196,88,"Hasib, Mir",AUTHOR
197,89,"Fine, Julia",AUTHOR
198,90,"Fine, Julia",AUTHOR
199,91,"Groothuis, Sanne",AUTHOR
200,92,"Alamenciak, Tim",AUTHOR
201,93,"Samuels, Julie",AUTHOR
202,93,"Davies, Elizabeth",AUTHOR
203,93,"Pope, Dwight",AUTHOR
204,94,"Samuels, Julie",AUTHOR
205,94,"Davies, Elizabeth",AUTHOR
206,94,"Pope, Dwight",AUTHOR
207,95,"Rogers, Charles R.",AUTHOR
208,96,"Rogers, Charles R.",AUTHOR
209,97,"Thorkildsen, Zoë",AUTHOR
210,97,"Wohl, Emma",AUTHOR
211,97,"Bryson, Bridgette",AUTHOR
212,97,"Lafferty, Jennifer",AUTHOR
213,97,"Dockstader, Jessica",AUTHOR
214,98,"Thorkildsen, Zoë",AUTHOR
215,98,"Wohl, Emma",AUTHOR
216,98,"Bryson, Bridgette",AUTHOR
217,98,"Lafferty, Jennifer",AUTHOR
218,98,"Dockstader, Jessica",AUTHOR
219,99,"Obadike, Ilona Nkemjika",AUTHOR
220,100,Sara Pistola Grille,AUTHOR
221,100,Iria Da Cunha Fanego,AUTHOR
222,100,Susana Viñuales Ferreiro,AUTHOR
223,101,"Davidson Abella, Anna",AUTHOR
224,101,"Vargo, Amy C.",AUTHOR
225,102,"Davidson Abella, Anna",AUTHOR
226,102,"Vargo, Amy C.",AUTHOR
227,103,"Garibay-Toussaint, Isabel",AUTHOR
228,103,"Garibay-Toussaint, Isabel",AUTHOR
229,103,"Narchi, Nemer E.",AUTHOR
230,104,"Wagenaar, Welmoed",AUTHOR
231,105,"Virbel-Fleischman, Clara",AUTHOR
232,106,"Schell, Jane",AUTHOR
233,106,"Ernecoff, Natalie",AUTHOR
234,107,"Reb, Anne",AUTHOR
235,108,"Lee, Sunghoon Ivan",AUTHOR
236,108,"Choe, Eun Kyoung",AUTHOR
237,108,"Jung, Hee-Tae",AUTHOR
238,109,"Mueller, Jennifer",AUTHOR
239,109,"Kirstein, Marielle",AUTHOR
240,109,"VandeVusse, Alicia",AUTHOR
241,109,"Lindberg, Laura",AUTHOR
242,110,"Chea, Stevenson",AUTHOR
243,111,"Gropper, Hannes",AUTHOR
244,111,Jannika M. John,AUTHOR
245,111,Ansgar Thiel,AUTHOR
246,112,"Baum, Eleonore",AUTHOR
247,112,"Abdi, Sied",AUTHOR
248,112,"Arab Abdilahi, Roda",AUTHOR
249,113,W. Van Rossem,AUTHOR
250,114,E.A.G. Hietbrink,AUTHOR
251,115,"Eneche, Patrick Samson Udama",AUTHOR
252,116,D.A. Forster,AUTHOR
253,116,C.A.M. Hermans,AUTHOR
254,117,"Fikriandi, Fauzan",AUTHOR
255,117,"Ubud, Sahnaz",AUTHOR
256,117,"Ubud, Sahnaz",AUTHOR
257,118,"West, Simon",AUTHOR
258,118,"Beilin, Ruth",AUTHOR
259,118,"Wagenaar, Hendrik",AUTHOR
260,119,"Koop-Spoor, Ellen",AUTHOR
261,119,"Janssen, Sandra",AUTHOR
262,119,"Vloet, Kara",AUTHOR
263,119,"Siesling, Dick",AUTHOR
264,119,"Melenhorst, Jacintha",AUTHOR
265,120,"Lachs, Mark",AUTHOR
266,120,"Burnes, David",AUTHOR
267,121,"Lachs, Mark",AUTHOR
268,121,"Burnes, David",AUTHOR
269,122,"Lachs, Mark",AUTHOR
270,122,"Burnes, David",AUTHOR
271,123,"Espinoza, Camila",AUTHOR
272,123,"Canessa, Florencia",AUTHOR
273,123,"van der Veek, Shelley",AUTHOR
274,123,"Alink, Lenneke",AUTHOR
275,123,"van der Voort, Anja",AUTHOR
276,124,"Roark, Jennifer",AUTHOR
277,124,"Elliott, Debi",AUTHOR
278,124,"Bernard, Kimberly",AUTHOR
279,125,"Roark, Jennifer",AUTHOR
280,125,"Elliott, Debi",AUTHOR
281,125,"Bernard, Kimberly",AUTHOR
282,126,"Lévesque, Gabriel",AUTHOR
283,127,A. de Ruiter,AUTHOR
284,128,Kaukab Abid Azhar,AUTHOR
285,128,Nayab Iqbal,AUTHOR
286,129,"Stohr, Mary",AUTHOR
287,129,"Willits, Dale",AUTHOR
288,129,"Makin, David",AUTHOR
289,129,"Hemmens, Craig",AUTHOR
290,129,"Lovrich, Nicholas",AUTHOR
291,129,"Stanton, Duane",AUTHOR
292,129,"Meize, Mikala",AUTHOR
293,130,"Stohr, Mary",AUTHOR
294,130,"Willits, Dale",AUTHOR
295,130,"Makin, David",AUTHOR
296,130,"Hemmens, Craig",AUTHOR
297,130,"Lovrich, Nicholas",AUTHOR
298,130,"Stanton, Duane",AUTHOR
299,130,"Meize, Mikala",AUTHOR
300,131,Masoud Dauda,AUTHOR
301,131,Swabaha A. Yusuph,AUTHOR
302,131,Harouni Yasini,AUTHOR
303,131,Issa Mmbaga,AUTHOR
304,131,Perpetua Mwambinngu,AUTHOR
305,131,Hansol Park,AUTHOR
306,131,Gyeongbae Seo,AUTHOR
307,131,Kyoung Kyun Oh,AUTHOR
308,132,"Ataide Pinheiro, Weverton",AUTHOR
309,133,"Burke, Matthew",AUTHOR
310,134,"Griffin, Tricia",AUTHOR
311,135,"West, Lori",AUTHOR
312,135,"Nicholas, David",AUTHOR
313,135,"Dodd, Bernadette",AUTHOR
314,135,"Gilmour, Susan",AUTHOR
315,135,"Urschel, Simon",AUTHOR
316,135,"Yap, Jason",AUTHOR
317,135,"McClure, Michelle",AUTHOR
318,135,"Roberts, Cheri",AUTHOR
319,136,"Wright, Virginia",AUTHOR
320,136,"Wiart, Lesley",AUTHOR
321,136,"Rosychuk, Rhonda",AUTHOR
322,137,"Sahakian, Tina",AUTHOR
323,137,"Daouk-Öyry, Lina",AUTHOR
324,137,"Karam, Charlotte M.",AUTHOR
325,137,"Kooij, Dorien T.A.M.",AUTHOR
326,137,"Kroon, Brigitte",AUTHOR
327,137,"van de Vijver, Fons",AUTHOR
328,138,"Izumi, Seiko",AUTHOR
329,139,"Grootel, van, Juul",AUTHOR
330,140,"Kertzer, David",AUTHOR
331,141,"Kertzer, David",AUTHOR
332,142,A.M.P. Huis,AUTHOR
333,142,B. Wendt,AUTHOR
334,142,M. Hulscher,AUTHOR
335,142,G.J. Huisman-de Waal,AUTHOR
336,142,J.L.A. Hautvast,AUTHOR
337,143,"Malki, Athra",AUTHOR
338,143,"Verkerke, Gijsbertus J.",AUTHOR
339,143,"Dekker, Rienk",AUTHOR
340,143,"Hijmans, Juha M.",AUTHOR
341,144,"Gunn, Christine M.",AUTHOR
342,145,"Gunn, Christine M.",AUTHOR
343,146,Sara Pistola Grille,AUTHOR
344,146,Iria Da Cunha Fanego,AUTHOR
345,146,Susana Viñuales Ferreiro,AUTHOR
346,147,J. Oudenampsen,AUTHOR
347,147,M. van de Pol,AUTHOR
348,147,N.M.A. Blijlevens,AUTHOR
349,147,E. Das,AUTHOR
350,148,"Elias, Anwen",AUTHOR
351,149,"Meissner, Henrique",AUTHOR
352,149,"Harris, Robert",AUTHOR
353,150,"Rajaratnam, Surendran",AUTHOR
354,151,"Sundstrom, Lisa",AUTHOR
355,151,"Johnson, Janet Elise",AUTHOR
356,151,"Sperling, Valerie",AUTHOR
357,151,"Novitskaya, Alexandra",AUTHOR
358,152,"Anger, Michael",AUTHOR
359,152,"Wendelborn, Christian",AUTHOR
360,152,"Schickhardt, Christoph",AUTHOR
361,153,"Koerber, Amy",AUTHOR
362,153,"Al-Shawaf, Tameem",AUTHOR
363,154,"Koerber, Amy",AUTHOR
364,155,"Maina, Teresia Wamuyu",AUTHOR
365,155,"Williams, Chelsea",AUTHOR
366,155,"Jaenisch, Thomas",AUTHOR
367,155,"Bärnighausen, Till",AUTHOR
368,155,"Berner-Rodoreda, Astrid",AUTHOR
369,155,"Bärnighausen, Kate",AUTHOR
370,156,"O'Neill, Maureen",AUTHOR
371,157,"Sánchez, Estefanía",AUTHOR
372,158,"Ververs e/v Gerritsen, Maritza",AUTHOR
373,159,"Silveira Ramalho, Thiago",AUTHOR
374,159,"Vasconcellos, Liliana",AUTHOR
375,159,"Vasconcellos, Liliana",AUTHOR
376,160,"Ament, Stephanie",AUTHOR
377,161,"Semrau, Maya",AUTHOR
378,161,"Davey, Gail",AUTHOR
379,161,"Fekadu, Abebaw",AUTHOR
380,161,"Tora, Abebayehu",AUTHOR
381,161,"Kinfe, Mersha",AUTHOR
382,161,"Ali, Oumer",AUTHOR
383,161,"Mengiste, Asrat",AUTHOR
384,161,"Ahimed, Abdulkadir",AUTHOR
385,162,"van der Weijden, T.",AUTHOR
386,163,"Luigjes, Christiaan",AUTHOR
387,164,"Mannheimer, Sara",AUTHOR
388,165,"Morss, Rebecca",AUTHOR
389,165,"Vickery, Jamie",AUTHOR
390,165,"Lazrus, Heather",AUTHOR
391,165,"Bostrom, Ann",AUTHOR
392,165,"Demuth, Julie",AUTHOR
393,166,"Akbik, Adina",AUTHOR
394,167,"Datta, Upamanyu",AUTHOR
395,167,"Rao, Vijayendra",AUTHOR
396,168,C.J. Davis,AUTHOR
397,169,Katherine Wisener,AUTHOR
398,170,Katherine Wisener,AUTHOR
399,171,Katherine Wisener,AUTHOR
400,172,"Tobin, Karin E.",AUTHOR
401,173,"Tobin, Karin E.",AUTHOR
402,174,"Esbensen, Finn-Aage",AUTHOR
403,175,"Esbensen, Finn-Aage",AUTHOR
404,814,"Herrick, Cynthia",AUTHOR
405,818,"Herrick, Cynthia",AUTHOR
406,822,"Herrick, Cynthia",AUTHOR
407,179,"Rod, Alisa Beth",AUTHOR
408,3794,"Al Hatmi, Khalifa",AUTHOR
409,181,"West, Jane",AUTHOR
410,182,"Chukwuma, Adanna",AUTHOR
411,3808,"Matima, Rangarirai",AUTHOR
412,3808,"Murphy, Katherine",AUTHOR
413,3808,"Levitt, Naomi S.",AUTHOR
414,3808,"BeLue, Rhonda",AUTHOR
415,3808,"Oni, Tolu",AUTHOR
416,184,"TUNC, ZEYNEP",AUTHOR
417,184,"KORKMAZ (TUNÇ), ZEYNEP",AUTHOR
418,185,"Kernic, Mary A.",AUTHOR
419,186,"Kernic, Mary A.",AUTHOR
420,187,"van Linschoten, Reinier",AUTHOR
421,187,"Bijl, Hannah",AUTHOR
422,187,"Zwinkels, Dionne",AUTHOR
423,188,"Gouin, Clayton",AUTHOR
424,189,"Campbell, Rebecca",AUTHOR
425,189,"Greeson, Megan",AUTHOR
426,189,"Bybee, Deborah",AUTHOR
427,189,"Kennedy, Angie",AUTHOR
428,190,"Campbell, Rebecca",AUTHOR
429,190,"Greeson, Megan",AUTHOR
430,190,"Bybee, Deborah",AUTHOR
431,190,"Kennedy, Angie",AUTHOR
432,431,"Harrison, Krista",AUTHOR
433,192,"Weist, Mark D.",AUTHOR
434,192,"Pollitt-Hill, Jennifer",AUTHOR
435,192,"Kinney, Linda",AUTHOR
436,192,"Bryant, Yaphet",AUTHOR
437,192,"Anthony, Laura",AUTHOR
438,192,"Wilkerson, Jennifer",AUTHOR
439,193,"Weist, Mark D.",AUTHOR
440,193,"Pollitt-Hill, Jennifer",AUTHOR
441,193,"Kinney, Linda",AUTHOR
