id,project_id,file_name,file_type,status
67,5,11_PLANET4B_ArtknitStudios-Interview1_20240715_docx.docx,docx,SUCCEEDED
68,5,15_PLANET4B_Oscalito-Doc4_2023_pdf.pdf,pdf,SUCCEEDED
69,5,46_PLANET4B_Rifò-FieldVisit2_20240316_pdf.docx,docx,SUCCEEDED
70,5,14_PLANET4B_Oscalito-Doc3_2023_pdf.pdf,pdf,SUCCEEDED
71,5,23_PLANET4B_Oscalito-Interview6_20240717_docx.docx,docx,SUCCEEDED
72,5,20_PLANET4B_Oscalito-Interview3_20240717_docx.docx,docx,SUCCEEDED
73,5,4_PLANET4B_ArtknitStudios-Doc3_2022_pdf.pdf,pdf,SUCCEEDED
74,5,24_PLANET4B_Oscalito-Interview7_20240717_docx.docx,docx,SUCCEEDED
75,5,28_PLANET4B_Rifò-Doc1_2022_pdf.pdf,pdf,SUCCEEDED
76,5,17_PLANET4B_Oscalito-Doc6_2023_docx.docx,docx,SUCCEEDED
77,5,30_PLANET4B_Rifò-Doc3_2024_pdf.pdf,pdf,SUCCEEDED
78,5,37_PLANET4B_Rifò-Doc10_2025_pdf.pdf,pdf,SUCCEEDED
79,5,45_PLANET4B_Rifò-FieldVisit1_20240316_pdf.docx,docx,SUCCEEDED
80,5,36_PLANET4B_Rifò-Doc9_2025_pdf.pdf,pdf,SUCCEEDED
81,5,39_PLANET4B_Rifò-Doc12_2025_docx.docx,docx,SUCCEEDED
82,5,31_PLANET4B_Rifò-Doc4_2025_pdf.pdf,pdf,SUCCEEDED
83,5,2_PLANET4B_ArtknitStudios-Doc1_2018_pdf.pdf,pdf,SUCCEEDED
84,5,41_PLANET4B_Rifò-Doc14_2023_pdf.pdf,pdf,SUCCEEDED
85,5,42_PLANET4B_Rifò-Doc15_2025_pdf.pdf,pdf,SUCCEEDED
86,5,44_PLANET4B_Rifò-Interview2_20240920_pdf.docx,docx,SUCCEEDED
87,5,33_PLANET4B_Rifò-Doc6_2025_pdf.pdf,pdf,SUCCEEDED
88,5,47_PLANET4B_Rifò-FieldVisit3_20240316_pdf.docx,docx,SUCCEEDED
89,5,5_PLANET4B_ArtknitStudios-Doc4_2024_pdf.pdf,pdf,SUCCEEDED
90,5,16_PLANET4B_Oscalito-Doc5_2023_pdf.pdf,pdf,SUCCEEDED
91,6,COMENTARIOS_TIKTOK.qdpx,qdpx,SUCCEEDED
92,6,readme-es_tiktok.txt,txt,SUCCEEDED
93,7,Codebook_for_Vollrath_Scoping_Review_MSc_2022.docx,docx,SUCCEEDED
94,7,Oil_and_Gas_Methane_Emissions_Scoping_Review_Update_Data.tab,tab,SUCCEEDED
95,7,Oil_and_Gas_Methane_Emissions_Scoping_Review_Vollrath_MSc_2022.nvp,nvp,SUCCEEDED
96,7,Oil_and_Gas_Methane_Emissions_Scoping_Review_Vollrath_MSc_2022.qdpx,qdpx,SUCCEEDED
97,7,Scoping_Review_Reference_List.docx,docx,SUCCEEDED
98,20,Kategoriensystem_FINAL.xlsx,xlsx,SUCCEEDED
99,20,FF1_A-pre_Rohdaten_AnonymUndSortiert.xlsx,xlsx,SUCCEEDED
100,20,Kreuztabellen.zip,zip,SUCCEEDED
101,20,FF1_A-post_Rohdaten_AnonymUndSortiert.xlsx,xlsx,SUCCEEDED
102,20,FF1_B_QIA_in_MAXQDA_public.mx24,mx24,SUCCEEDED
103,21,dataset.zip,zip,SUCCEEDED
104,22,replication_package.zip,zip,SUCCEEDED
105,23,20200806_blips.xlsx,xlsx,SUCCEEDED
106,24,HIP data NMJ et al Dryad .xlsx,xlsx,SUCCEEDED
107,25,Figure Source Data_OCS.xlsx,xlsx,SUCCEEDED
108,26,banco_racas_suicidios.xlsx,xlsx,SUCCEEDED
109,26,tabela1_analise.py,py,SUCCEEDED
110,26,grafico_taxa_suicidio.py,py,SUCCEEDED
111,26,README.md,md,SUCCEEDED
112,26,tabela2_analise.py,py,SUCCEEDED
113,26,tabela3_analise.py,py,SUCCEEDED
114,27,mitophagy_DAPI_p62_mitotracker_TSG101_Confocal_Airyscan_fixed_cells_63x.zip,zip,SUCCEEDED
115,27,lipid_peroxidation_oxBODIPY_BODIPY_Confocal_live_cells_63x.zip,zip,SUCCEEDED
116,27,mitophagy_DAPI_LC3_Mitotracker_BNIP_Confocal_Airyscan_fixed_cells_63x.zip,zip,SUCCEEDED
117,28,CompletecVLData_sempa et al 2019.csv,csv,SUCCEEDED
118,29,meta.zip,zip,SUCCEEDED
119,30,ResearchData.zip,zip,SUCCEEDED
120,31,Jasper et al. (2025) - Comparative LCA_SI1.docx,docx,SUCCEEDED
121,31,Jasper et al. (2025) - Comparative LCA_SI2.xlsx,xlsx,SUCCEEDED
122,32,data-for-the-publication-exploring-the-reactivity.zip,zip,SUCCEEDED
123,33,DSR_PROTEUS.pdf,pdf,SUCCEEDED
124,33,Proteus_data.zip,zip,SUCCEEDED
125,35,12_EPDM_N6_D2p5_t_nv.zip,zip,SUCCEEDED
126,35,00_PA12_N6_t_nv.zip,zip,SUCCEEDED
127,35,readme.txt,txt,SUCCEEDED
128,35,01_PA12_N6_nt_v.zip,zip,SUCCEEDED
129,35,02_PA12_N4_nt_v.zip,zip,SUCCEEDED
