id,query_string,repository_id,repository_url,project_url,version,title,description,language,doi,upload_date,download_date,download_repository_folder,download_project_folder,download_version_folder,download_method
1,qdpx,1,https://zenodo.org,https://zenodo.org/records/16082705,v1.0,Supporting Data for Scoping Review on Interlanguage Pragmatics in EFL Contexts,"<p>This dataset contains coded data (QDPX), article summary (Word), and year-theme matrix (Excel) used in the scoping review.</p>",eng,10.5281/zenodo.16082705,2025-07-18,2026-04-06T15:30:02.355944+00:00,zenodo,16082705,v1.0,API-CALL
2,qdpx,1,https://zenodo.org,https://zenodo.org/records/14535515,1.1,Polish debates on higher education in the Sejm and party manifestos,"This dataset contains a qualitative analysis of seven Polish parliamentary debates on higher education and of 41 Polish party manifestos from the period 1989-2021. The parliamentary debates deal with larger higher education reforms (1990, 2001, 2005, 2011, 2018), resolutions on the condition of the HE sector (1995) and the legal package for academic freedom (2021). The party manifestos stem from the largest governing and opposition parties from all legislative periods between 1989 and 2019. The debates and manifestos have been analyzed with a qualitative content analysis with a focus on the governance and redistribution dimension as well as framing of higher education policies. 
A full list of parties, concrete dates of the debates and the coding scheme are provided in the file ""description of the dataset"".
The file has a size of 42,3 MB and is saved in maxQDA (version 2020 and 2022). A reader for maxQDA files can be downloaded free of charge from https://www.maxqda.com/products/maxqda-reader. Additionally, the document is saved in the REFI-QDA-format (.qdpx), which allows to open coded documents with different Qualitative Data Analysis programs (https://www.qdasoftware.org/).  

In this version, the description of the data set was updated by adding more details to the section 'Coding procedure and coding scheme'. 

Note: The current version of the dataset contains only party manifestos. The parliamentary debates will be added at latest in spring 2025.",,10.5281/zenodo.14535515,2024-12-20,2026-04-06T15:30:02.870499+00:00,zenodo,14535515,1.1,API-CALL
3,qdpx,1,https://zenodo.org,https://zenodo.org/records/18196304,,"Implementation Science, Program Fidelity, and Program Delivery in Scaling Early Literacy Interventions for Children Aged 3–13: A Systematic Review","<p>This data set contains the qdpx coding file done through Qual Coder 3.7 , thematic coding master code list, Data set extracted against research questions and the bibliometric metadata of included studies&nbsp;</p>",,10.5281/zenodo.18196304,2026-01-09,2026-04-06T15:30:03.385090+00:00,zenodo,18196304,,API-CALL
4,qdpx,1,https://zenodo.org,https://zenodo.org/records/17347915,,PLANET4B Frame Analysis Dataset Pisa [UNIPI] 20251013 v2,"<p>This dataset includes the data and files used to conduct a frame analysis about fashion and biodiversity in the Fashion case study of the Horizon Europe project PLANET4B (understanding Plural values, intersectionality, Leverage points, Attitudes, Norms, behaviour and social lEarning in Transformation for Biodiversity decision making). More specifically, it includes grey-literature documents (N=16), interviews (N=8), a QDPX project from Atlas.ti, and processed data (N=2). Additionally, the dataset includes a metada document (PLANET4B_Metadata-Frame-Analysis_Pisa_20251013_metadata.docx) with additional information about each of the files. The new version (V2), includes 4 additional interviews and the adapted metadata document.&nbsp;</p>
<p>At the time of collection, all the contributors were researchers at the University of Pisa (UNIPI). The case study focused on understanding the relation between biodiversity loss and the textile, apparel, and fashion sector (TAF), and identifying leverage points and potential interventions to foster transformative change for biodiversity in the sector.&nbsp;</p>",eng,10.5281/zenodo.17347915,2025-10-14,2026-04-06T15:30:03.897496+00:00,zenodo,17347915,,API-CALL
5,qdpx,1,https://zenodo.org,https://zenodo.org/records/17360366,,PLANET4B Business Models Dataset Pisa [UNIPI] 20251014 v2,"<p>This dataset includes the data and files used to conduct an analysis of the business models of three Italian small and medium fashion companies in the Fashion case study of the Horizon Europe project PLANET4B (understanding Plural values, intersectionality, Leverage points, Attitudes, Norms, behaviour and social lEarning in Transformation for Biodiversity decision making). More specifically, it includes company documents (N=30), interviews (N=12), field visits (N=4), a QDPX project from Atlas.ti, and processed data (N=1). Additionally, the dataset includes a metada document (PLANET4B_Metadata-BusinessModels_Pisa_20251014_metadata.docx) with additional information about each of the files.&nbsp;</p>
<p>At the time of collection, all the contributors were researchers at the University of Pisa (UNIPI). The case study focused on understanding the relation between biodiversity loss and the textile, apparel, and fashion sector (TAF), and identifying leverage points and potential interventions to foster transformative change for biodiversity in the sector.&nbsp;</p>",eng,10.5281/zenodo.17360366,2025-10-15,2026-04-06T15:30:04.428551+00:00,zenodo,17360366,,API-CALL
6,qdpx,10,https://dataverse.harvard.edu,https://doi.org/10.21950/PDWDPG,563183,COMPREV(P)CANCER Base Datos del análisis de los comentarios sobre bronceado fotoprotección y fotoprevención solar en la red social TikTok,Base de datos y análisis en el software Atlas.ti de comentarios relacionados con el bronceado y la fotoprevención solar en jóvenes que fueron descargados de publicaciones en la red social TikTok.,,https://doi.org/10.21950/PDWDPG,2025-11-13,2026-04-06T15:30:15.326936+00:00,harvard-dataverse,PDWDPG,,API-CALL
7,qdpx,10,https://dataverse.harvard.edu,https://doi.org/10.5683/SP3/OOCMMZ,579764,"Methane Emissions from the Global Oil and Gas Industry: A Scoping Review to Characterize Research Trends, Knowledge Gaps, and Priorities","This data was exported from NVivo qualitative analysis software (Version 12) and Microsoft Excel. The data are from the review and charting of 237 peer-reviewed journal articles on methane emissions measurements from the oil and gas industry (onshore). These articles were identified and reviewed following the Preferred Reporting Items for Systematic Reviews and Meta-Analyses Extension for Scoping Reviews (PRISMA-ScR) methodology. All 237 articles reviewed can be found in the reference list. The data charted from each of the 237 articles were: geography, measurement scales and methods, emissions characterization, and emissions profiles. The codebook shows the data charting structure used in NVivo with descriptions of each category. The .nvp and .qdpx files can be opened with NVivo or another qualitative analysis software to see the sources of evidence charted from each article. The review was updated to the end of 2022 using Microsoft Excel. The associated file includes data extracted from the 26 articles added. This work was completed for a Master of Science thesis in Geography in 2022.",,https://doi.org/10.5683/SP3/OOCMMZ,2025-11-22,2026-04-06T15:30:16.247277+00:00,harvard-dataverse,OOCMMZ,,API-CALL
